title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Джон Уик 3,21336,15185,18148,18055,23583,27905,28002,25440,31392,27585,158819,103424,196510,213879,1792822,1787064,1526518,1224254,1055739,796309,678143,437864,441101,336062
Танцуй сердцем,1926,1580,1728,1303,1199,1950,2008,3068,3760,2464,2603,2582,2808,6094,31642,12091,11739,28675,30495,22462,15603,14487,17471,15507
Проклятые,663244,560247,597429,541964,589611,604705,598727,668989,700415,649701,749044,686935,714376,653482,620497,552033,621081,702908,610824,656623,687449,685879,1028442,840514
Королева сердец,13092,10164,8938,13148,15625,12109,10649,11719,11078,11425,11216,9685,16485,17015,67202,59584,78699,83325,123585,85119,83364,70437,70805,56199
Малыш Кид,61,160,158,114,141,39,93,96,89,66,95,112,154,2111,33355,25837,18270,20352,19242,14278,13468,9466,7464,5472
SuperЗять,0,0,0,0,0,0,0,0,0,0,0,0,249,1030,5990,2513,5408,12191,23447,16932,14662,10824,5405,3077
Аладдин,160104,113629,118897,117462,138047,142605,120421,151777,136900,161778,203193,297847,324905,250010,735733,1102146,686626,733021,641370,487471,453292,445019,421563,312826
Тайная жизнь домашних животных 2,4063,2705,2901,3643,4191,4236,6145,4199,58469,45178,83117,131215,177736,229061,858723,2009425,922060,750713,615190,483461,393061,307036,327305,270645
"Гори, гори ясно",3521061,3277823,3448884,3601182,4017316,3861142,3521868,3581948,3311793,3487560,3793862,3526799,3616391,3875335,4106889,4105325,4426142,4061550,3728100,3696845,3592284,3810496,4272146,3614214
Ядовитая роза,314,363,211,182,179,163,173,217,211,207,274,293,514,1275,63322,43483,39627,38862,52846,39334,35870,26303,26295,44233
Плейбой под прикрытием,0,0,0,0,0,0,0,0,0,0,36,1087,21879,22732,36407,44205,96913,75147,91500,101331,73133,60332,51685,32087
Игрища престолов,0,0,0,0,0,0,0,0,42,151,2094,3413,3602,2878,44815,39021,26054,17920,33569,23672,18121,11421,9672,6726
Весёлая ферма,108408,81115,75360,74297,81901,84570,68700,87050,82485,78802,91052,79006,81832,58659,66622,67990,69988,67529,54209,69907,67513,69142,86497,77523
Годзилла 2: Король монстров,45,16,25,30,2902,4411,4650,5401,5402,12709,22118,25541,32355,40285,217746,768463,471776,422682,247939,157588,120878,125431,140986,135874
Рокетмен,101,104,93,96,148,102,139,1639,1103,543,1635,2359,2161,2138,24586,200304,118443,89935,65167,63124,47648,36004,49906,39753
Куриоса,79,59,104,91,67,133,155,93,77,78,108,109,74,548,32203,81010,97234,83764,159227,137565,115552,97773,207986,164779
Золотая перчатка,1592,1567,1873,1823,5168,1757,1733,2255,2274,2344,2444,12957,12500,12434,22923,74910,31324,48611,49829,41888,29081,25409,35688,30231
Так сказал Чарли,0,0,0,0,0,0,0,0,0,0,0,0,1599,1327,15856,33683,18284,21215,14926,12706,9738,6758,18016,12261
Люди Икс Темный феникс,7218,4496,6909,8461,7626,7955,26049,43784,31991,29666,76859,198874,346212,269274,355531,1110492,655574,617220,701079,278533,182508,131231,140378,81794
Обитель страха,177,138,84,114,128,101,123,131,128,87,195,147,143,5656,9659,36891,32648,24386,38169,32382,23159,19088,30484,14751
Домино,316503,261887,268031,242274,252157,271511,289630,341845,340424,343582,392582,349250,334547,273703,267056,282293,278409,280608,270946,323096,330311,340717,375533,348652
Мы всегда жили в замке,199,195,212,189,245,222,519,416,298,341,270,199,382,1275,12882,23878,26840,16132,17405,12686,6552,5327,7393,11915
Вита и Вирджиния,141,115,164,202,385,632,793,824,776,1332,2365,2090,2184,2044,5223,27308,14268,7843,9722,6944,5189,5457,4606,2935
Дитя тьмы,36347,55314,30282,61337,56749,77897,43400,48179,39313,36387,56299,100313,62820,47669,62251,64414,68756,59463,37252,44323,77821,86990,109777,66262
Люди в черном: Интернэшнл,0,0,0,0,0,0,0,0,0,18152,65752,64127,32298,30724,53556,745779,558564,487258,479826,320340,244637,205313,205803,187134
Боль и слава,772,827,795,663,471,612,663,897,828,943,1136,1698,1835,2313,8848,69229,54474,40726,42351,40575,26462,24649,45061,29641
Донбасс. Окраина,0,0,0,0,0,0,0,2886,838,719,2684,6443,4085,3233,7486,150190,126600,59828,162660,94995,86655,56378,53904,32211
Питомец Юрского периода,178,108,74,98,125,207,164,208,242,375,264,257,216,2434,3144,22984,22171,18243,36455,33175,25918,19718,41158,40670
Венецианский детектив,0,0,0,0,0,0,0,35,5,8,16,37,87,246,741,10019,6177,4599,1872,1674,2160,3009,3621,3494
История игрушек 4,29260,20746,20571,32226,30406,25319,20019,19872,27383,23251,33864,41021,63501,64452,74784,479588,521104,376454,370528,365240,257747,181201,203280,179031
Дылда,9138,8329,11856,7699,8119,8508,9374,11330,12642,12257,12746,11837,11568,13706,49583,227727,214522,126566,544053,7915288,2509480,497185,478391,492032
Дитя робота,0,0,0,0,0,0,0,0,16,35,52,958,117,300,29685,203141,230954,260910,313145,384937,231950,203338,208738,114212
Зов волка,473,375,352,403,269,259,360,548,598,431,551,568,1229,1293,3654,71828,99655,72850,59408,172636,86416,60470,193369,88949
Берлин я люблю тебя,174,200,247,144,186,229,191,226,256,596,612,2264,2945,2028,2906,16358,12144,9797,5748,5673,6189,3821,4163,4715
Мой друг Зигмунд Фрейд,0,0,0,0,0,0,0,0,0,0,0,0,46,1007,364,9380,10059,8137,5901,5926,7180,10795,11892,8874
Охотник на оленей,9173,5447,5443,4826,8840,12345,9793,11565,8762,6967,6348,7498,6046,6418,7170,23436,11525,10000,9085,7173,7069,7636,8739,7478
