Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Фильм,Тихоокеанский рубеж 2,Кролик Питер,Tomb Raider: Лара Крофт,Я худею,Шерлок Гномс,Тебя никогда здесь не было,Излом времени,Пассажир,Чёрная пантера,Гонка века,Лёд,Незнакомцы: Жестокие игры,Дикие предки,О чем говорят мужчины. Продолжение,Полночное солнце,Мэри и ведьмин цветок,МУЛЬТ в кино. Выпуск № 71,Страна призраков,Леди Бёрд,"Ну, здравствуй, Оксана Соколова!",,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Сборы,"348,234,192","220,037,710","81,443,240","59,571,794","26,018,817","14,492,237","12,896,521","11,995,360","11,331,909","11,031,065","10,956,975","8,153,263","7,413,926","5,895,841","4,152,241","3,286,998","2,622,150","2,525,313","2,402,126","1,864,290",,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Зрители,"1,195,377","965,354","295,895","222,689","128,806","41,864","60,479","40,021","40,743","31,308","44,717","28,468","33,158","19,046","15,352","13,425","22,502","10,072","8,304","8,396",,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Сеансы,"35,399","25,070","17,976","7,163","7,567","1,374","3,989","1,481","1,864","1,937","1,675","2,542","3,829",724,"1,455",680,"1,991",601,677,"1,020",,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Сборы за сеанс,"9,837","8,776","4,530","8,316","3,438","10,547","3,233","8,099","6,079","5,694","6,541","3,207","1,936","8,143","2,853","4,833","1,317","4,201","3,548","1,827",,,,,,,
12,4,Март,с 22 март. 2018 по 25 март. 2018,3,Среднее количество зрителей,33,38,16,31,17,30,15,27,21,16,26,11,8,26,10,19,11,16,12,8,,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Фильм,Первому игроку приготовиться,Кролик Питер,Тихоокеанский рубеж 2,Каникулы Президента,Я худею,Не в себе,Tomb Raider: Лара Крофт,Шерлок Гномс,Тебя никогда здесь не было,Я сражаюсь с великанами,Пассажир,Дикие предки,Чёрная пантера,Лёд,Гонка века,Излом времени,О чем говорят мужчины. Продолжение,МУЛЬТ в кино. Выпуск № 72,Незнакомцы: Жестокие игры,Мэри и ведьмин цветок,,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Сборы,"318,395,519","103,955,040","90,339,459","22,256,716","21,160,621","20,694,644","17,727,949","8,416,082","5,581,101","4,998,578","4,436,450","2,797,725","2,788,973","2,764,406","2,545,531","2,272,312","2,145,917","1,624,216","1,398,943","1,083,042",,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Зрители,"1,044,201","500,256","347,434","82,819","81,870","71,944","68,434","46,833","17,188","20,020","14,744","14,909","12,371","13,034","8,127","11,759","6,932","13,527","5,970","4,743",,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Сеансы,"35,869","19,689","19,890","5,222","3,957","5,812","5,651","3,277","1,099","2,497",817,"1,717",658,750,844,905,375,"1,363",842,333,,,,,,,
